Title,Price,Neighbourhood,Image URL,Posting URL,Property Type,Size,Rooms
"Grande Maison Sidi Moumen avec garages, c...",2 600 000 DH,"Sidi Moumen à
   					Casablanca",https://www.mubawab-media.com/ad/7/939/847F/m/IMG-20240623-WA0040_77367688.jpg,https://www.mubawab.ma/fr/a/7939847/grande-maison-sidi-moumen-avec-garages-cour-terrasse,Maison,"373
						m²",12 Pièces
Appartement hay laymoune a vendre,750 000 DH,"Laymoune à
   					Casablanca",https://www.mubawab-media.com/ad/7/939/633F/m/c9b2eac6-a665-4e08-8f6a-f99aaaac906d_77324358.jpeg,https://www.mubawab.ma/fr/a/7939633/appartement-hay-laymoune-a-vendre,Appartement,"76
						m²",1 Pièce
Appartement de moyen standing à vendre Ai...,820 000 DH,"Aïn Sebaâ à
   					Casablanca",https://www.mubawab-media.com/ad/7/939/045F/m/6FA891C0-9677-4964-97D2-6E49615C0CB1_77256912.jpeg,https://www.mubawab.ma/fr/a/7939045/appartement-de-moyen-standing-%C3%A0-vendre-ain-sbaa,Appartement,"82
						m²",1 Pièce
Duplex for sale. 5 min de casa anfa,1 290 000 DH,"Oulfa à
   					Casablanca",https://www.mubawab-media.com/ad/7/938/015F/m/20210310_144027_77362535.jpg,https://www.mubawab.ma/fr/a/7938015/duplex-for-sale-5-min-de-casa-anfa,Appartement,"120
						m²",4 Pièces
Bel appartement à vendre à Maârif. 3 bell...,180 000 000 DH,"Maârif à
   					Casablanca",https://www.mubawab-media.com/ad/7/936/842F/m/1000103163_77077682.jpg,https://www.mubawab.ma/fr/a/7936842/bel-appartement-%C3%A0-vendre-%C3%A0-ma%C3%A2rif-3-belles-chambres-ascenseur-et-terrasse,Appartement,"136
						m²",3 Pièces
Studio de 48m² et 50m² de cour en vente B...,1 517 000 DH,"Riviera à
	 					Casablanca",https://www.mubawab-media.com/ad/7/503/663F/m/Blue%20Skies%2016_31755668_31798515.jpg,https://www.mubawab.ma/fr/pa/7503663/studio-de-48m%C2%B2-et-50m%C2%B2-de-cour-en-vente-blue-skies,Appartement,"65
						m²",2 Pièces
Appartement à résidence Jawharate Eljoula...,9 000 DH,"Jamila 6 à
	 					Casablanca",https://www.mubawab-media.com/ad/7/554/466F/m/photo_0_41899238.jpg,https://www.mubawab.ma/fr/a/7554466/appartement-%C3%A0-r%C3%A9sidence-jawharate-eljoulane,Appartement,"70
						m²",3 Pièces
Appartement à vendre à Hay Mohammadi. 3 c...,1 020 600 DH,"Hay Mohammadi à
	 					Casablanca",https://www.mubawab-media.com/ad/7/885/114F/m/MEK_0165_70918712_70919093.JPG,https://www.mubawab.ma/fr/pa/7885114/appartement-%C3%A0-vendre-%C3%A0-hay-mohammadi-3-chambres,Appartement,"94
						m²",4 Pièces
Bel appartement à vendre à Lissasfa. Supe...,190 000 DH,"Lissasfa à
	 					Casablanca",https://www.mubawab-media.com/ad/7/890/174F/m/BABASSALAM-3_71794757_71794785.jpg,https://www.mubawab.ma/fr/pa/7890174/bel-appartement-%C3%A0-vendre-%C3%A0-lissasfa-superficie-54-m%C2%B2,Appartement,"54
						m²",2 Chambres
Appartement à vendre 93 m² 3 chambres Ain...,1 041 000 DH,"Aïn Sebaâ à
	 					Casablanca",https://www.mubawab-media.com/ad/7/857/672F/m/2_6060696_66925924.jpg,https://www.mubawab.ma/fr/pa/7857672/appartement-%C3%A0-vendre-93-m%C2%B2-3-chambres-ain-sbaa-casablanca,Appartement,"88
						m²",4 Pièces
Appartement de 48m² et 11m² de parking,680 000 DH,"Roches Noires à
	 					Casablanca",https://www.mubawab-media.com/ad/7/926/267F/m/WhatsApp%20Image%202024-05-30%20at%2014.51.25_76105726_76106024.jpeg,https://www.mubawab.ma/fr/pa/7926267/appartement-de-48m%C2%B2-et-11m%C2%B2-de-parking,Appartement,"48
						m²",2 Pièces
